species,decimalLongitude,decimalLatitude,country
Psittacus erithacus,11.293967,4.173409,Cameroon
Psittacus erithacus,5.37455,6.292117,Nigeria
Psittacus erithacus,15.102933,0.956955,Congo
Psittacus erithacus,11.981012,-0.179144,Gabon
Psittacus erithacus,10.751233,-0.079009,Gabon
Psittacus erithacus,30.40788,0.397746,Uganda
Psittacus erithacus,30.41348,0.394242,Uganda
Psittacus erithacus,30.405521,0.404774,Uganda
Psittacus erithacus,30.39519,0.437033,Uganda
Psittacus erithacus,30.404768,0.411208,Uganda
Psittacus erithacus,30.417858,0.476332,Uganda
Psittacus erithacus,33.078037,0.578174,Uganda
Psittacus erithacus,33.07523,0.56067,Uganda
Psittacus erithacus,30.410091,0.405675,Uganda
Psittacus erithacus,30.405619,0.391235,Uganda
Psittacus erithacus,32.20927,0.422044,Uganda
Psittacus erithacus,32.35442,0.08833,Uganda
Psittacus erithacus,32.35558,0.077813,Uganda
Psittacus erithacus,30.387337,0.438874,Uganda
Psittacus erithacus,29.75787,-1.081237,Uganda
Psittacus erithacus,30.411722,0.400088,Uganda
Psittacus erithacus,16.233503,2.985031,Central African Republic
Psittacus erithacus,6.714978,0.259854,Sao Tome and Principe
Psittacus erithacus,29.775524,-1.043515,Uganda
Psittacus erithacus,32.354694,0.065918,Uganda
Psittacus erithacus,32.34994,0.074624,Uganda
Psittacus erithacus,30.447193,0.386733,Uganda
Psittacus erithacus,30.286089,0.476269,Uganda
Psittacus erithacus,15.283477,0.755974,Congo
Psittacus erithacus,8.724426,3.779682,Equatorial Guinea
Psittacus erithacus,31.552008,1.678788,Uganda
Psittacus erithacus,-1.34421,6.68671,Ghana
Psittacus erithacus,32.716423,0.360382,Uganda
Psittacus erithacus,31.542135,1.710845,Uganda
Psittacus erithacus,32.945972,0.085542,Uganda
Psittacus erithacus,31.628773,1.658137,Uganda
Psittacus erithacus,32.946312,0.09175,Uganda
Psittacus erithacus,30.400063,0.648277,Uganda
Psittacus erithacus,30.407764,0.41956,Uganda
Psittacus erithacus,6.691232,0.309804,Sao Tome and Principe
Psittacus erithacus,12.703799,-0.81903,Gabon
Psittacus erithacus,14.685665,1.958571,Congo
Psittacus erithacus,14.554118,1.66879,Congo
Psittacus erithacus,30.444284,0.392038,Uganda
Psittacus erithacus,16.050985,1.636018,Congo
Psittacus erithacus,30.41389,0.398537,Uganda
Psittacus erithacus,30.40372,0.416845,Uganda
Psittacus erithacus,30.40075,0.421639,Uganda
Psittacus erithacus,30.414124,0.408263,Uganda
Psittacus erithacus,28.624552,-12.957952,Zambia
Psittacus erithacus,7.422295,1.639572,Sao Tome and Principe
Psittacus erithacus,30.41146,0.401273,Uganda
Psittacus erithacus,30.404472,0.417574,Uganda
Psittacus erithacus,30.411137,0.400208,Uganda
Psittacus erithacus,30.413874,0.393516,Uganda
Psittacus erithacus,33.724094,1.177093,Uganda
Psittacus erithacus,30.400251,0.423988,Uganda
Psittacus erithacus,33.18936,0.432814,Uganda
Psittacus erithacus,33.724094,1.177215,Uganda
Psittacus erithacus,32.544273,0.176501,Uganda
Psittacus erithacus,30.419603,0.404527,Uganda
Psittacus erithacus,30.410816,0.392122,Uganda
Psittacus erithacus,30.411137,0.400327,Uganda
Psittacus erithacus,7.377632,1.651061,Sao Tome and Principe
Psittacus erithacus,6.04125,4.208717,Nigeria
Psittacus erithacus,8.45795,5.292117,Nigeria
Psittacus erithacus,32.820137,0.279866,Uganda
Psittacus erithacus,32.95419,0.436595,Uganda
Psittacus erithacus,32.817287,0.278455,Uganda
Psittacus erithacus,32.814865,0.263978,Uganda
Psittacus erithacus,30.411167,0.400282,Uganda
Psittacus erithacus,16.246925,0.22206,Congo
Psittacus erithacus,32.820126,0.279893,Uganda
Psittacus erithacus,30.413637,0.407421,Uganda
Psittacus erithacus,34.87446,0.29073,Kenya
